order_id,lat,lng,dow,promised_time,actual_time,on_demand,picker_id,driver_id,store_branch_id,total_minutes
6abd5e28d01b7c733fe37485294235dc,18.221141,-100.313914,2,13:00:00,12:00:15,false,09bb5bfe76adbb474dddbdd111a51623,09bb5bfe76adbb474dddbdd111a51623,0dc6fb5924a8b917bc641666ed02663c,91.800861
0d37a1eea001f01b40232ffd496ff663,18.177712,-100.357051,2,13:00:00,10:28:10,false,c4c722114a82fa21654e57e9636d68b0,c4c722114a82fa21654e57e9636d68b0,2bbf833e689d24b697f1f3529c3f3c4b,206.599732
528428e9b9eb5d3bd0dbdd8da692b087,18.266832,-100.317553,2,11:00:00,10:40:50,false,e15c7a67d0ea9a54dffb410bc1d8528b,e15c7a67d0ea9a54dffb410bc1d8528b,8d891dfc0e29d744c15c18adced74a68,93.458001
d3f7be6d64eae7405b7bf024e04807a2,18.248884,-100.322622,2,10:00:00,09:41:47,false,d1f0bd4b237c1358f09db22076b940e7,d1f0bd4b237c1358f09db22076b940e7,0dc6fb5924a8b917bc641666ed02663c,124.778761
e0ad6533b6cd9a382ec6c1d473c5036c,18.22911,-100.322672,2,11:00:00,10:07:53,false,06a71e8ab0c6db5ce22a4689fd76a3f4,06a71e8ab0c6db5ce22a4689fd76a3f4,afd0a7b8d546fcc697bb93a5934b65c3,130.321208
f169a660e8667798da11775767cdce78,18.289334,-100.322796,2,12:00:00,11:29:36,false,163278a2f745b3416526066a5fe12f3b,163278a2f745b3416526066a5fe12f3b,86e6e48d0cb57f794b0c48162409fa74,74.993118
073eca5efe7ebb1073ec80cb90185c20,18.220782,-100.417305,2,12:00:00,11:00:15,false,e0322b49c16e71de1fe1837d98f23468,e0322b49c16e71de1fe1837d98f23468,3dd9ae393aa5327edfb27388758436bd,65.901589
99a360636e3cb03552b6d74b4ccef603,18.220713,-100.417223,2,10:00:00,09:44:54,false,649984b82d3dd1a1083a72de6b4b348c,649984b82d3dd1a1083a72de6b4b348c,9ef0cb7f21f56bf24ca5ef4194f69c64,93.661068
c1800bdd3c666b497b39d6e526917167,18.220947,-100.417273,2,10:00:00,08:46:04,false,a083ea904c55052cdb58917ed790ca96,a083ea904c55052cdb58917ed790ca96,2d69acabaafd2516eeffd3c69b3c1328,66.5212
b4c64ceaa31265a4b2ff0dec82b9beeb,18.21779,-100.344687,2,17:00:00,16:33:37,false,2bfd559c4bef0e59fee43bf322e3ea5e,2bfd559c4bef0e59fee43bf322e3ea5e,f45fd1f4de72b451f9d99e2a033de337,83.232147
e330962281e3de49b3d3856653e6da71,18.303241,-100.344447,2,11:00:00,10:22:00,false,29c7a131083ab05e25a3d9b4d49d8c5e,29c7a131083ab05e25a3d9b4d49d8c5e,a3bed30221372366bcd9b9779f395d0b,87.612301
